policy,lambda,mean_regret,regret_ci_lo,regret_ci_hi,mean_utility,mean_quality,mean_cost,mean_stop_round,n
S1-n1,0.0,0.0570,0.0350,0.0814,0.8876,0.8876,0.26,1.00,351
S1-n3,0.0,0.0027,0.0002,0.0065,0.9420,0.9420,1.14,3.00,351
S1-n5,0.0,0.0031,0.0002,0.0069,0.9416,0.9416,2.00,5.00,351
S1-n8,0.0,0.0073,0.0013,0.0153,0.9374,0.9374,3.29,8.00,351
S1-n10,0.0,0.0045,0.0011,0.0093,0.9402,0.9402,4.15,10.00,351
S1-n15,0.0,0.0065,0.0018,0.0123,0.9382,0.9382,6.31,15.00,351
S2,0.0,0.0028,0.0003,0.0066,0.9419,0.9419,0.36,1.17,351
S3,0.0,0.0065,0.0018,0.0123,0.9382,0.9382,6.31,15.00,351
S4,0.0,0.0027,0.0002,0.0065,0.9420,0.9420,1.20,3.13,351
S5,0.0,0.0065,0.0018,0.0123,0.9382,0.9382,6.31,15.00,351
S6,0.0,0.0027,0.0002,0.0065,0.9420,0.9420,1.18,3.09,351
S7,0.0,0.0027,0.0002,0.0065,0.9420,0.9420,1.23,3.19,351
S8,0.0,0.0146,0.0054,0.0271,0.9301,0.9301,0.78,2.15,351
S1-n1,0.005,0.0566,0.0346,0.0809,0.8863,0.8876,0.26,1.00,351
S1-n3,0.005,0.0067,0.0042,0.0105,0.9363,0.9420,1.14,3.00,351
S1-n5,0.005,0.0114,0.0086,0.0152,0.9316,0.9416,2.00,5.00,351
S1-n8,0.005,0.0220,0.0161,0.0301,0.9209,0.9374,3.29,8.00,351
S1-n10,0.005,0.0236,0.0199,0.0287,0.9194,0.9402,4.15,10.00,351
S1-n15,0.005,0.0363,0.0316,0.0422,0.9066,0.9382,6.31,15.00,351
S2,0.005,0.0029,0.0005,0.0065,0.9401,0.9419,0.36,1.17,351
S3,0.005,0.0363,0.0316,0.0422,0.9066,0.9382,6.31,15.00,351
S4,0.005,0.0070,0.0045,0.0108,0.9360,0.9420,1.20,3.13,351
S5,0.005,0.0363,0.0316,0.0422,0.9066,0.9382,6.31,15.00,351
S6,0.005,0.0069,0.0044,0.0107,0.9361,0.9420,1.18,3.09,351
S7,0.005,0.0072,0.0047,0.0110,0.9358,0.9420,1.23,3.19,351
S8,0.005,0.0168,0.0076,0.0292,0.9262,0.9301,0.78,2.15,351
S1-n1,0.02,0.0558,0.0339,0.0798,0.8825,0.8876,0.26,1.00,351
S1-n3,0.02,0.0190,0.0164,0.0229,0.9192,0.9420,1.14,3.00,351
S1-n5,0.02,0.0366,0.0336,0.0407,0.9016,0.9416,2.00,5.00,351
S1-n8,0.02,0.0666,0.0603,0.0752,0.8716,0.9374,3.29,8.00,351
S1-n10,0.02,0.0811,0.0762,0.0870,0.8571,0.9402,4.15,10.00,351
S1-n15,0.02,0.1262,0.1195,0.1343,0.8120,0.9382,6.31,15.00,351
S2,0.02,0.0036,0.0008,0.0076,0.9347,0.9419,0.36,1.17,351
S3,0.02,0.1262,0.1195,0.1343,0.8120,0.9382,6.31,15.00,351
S4,0.02,0.0202,0.0175,0.0242,0.9180,0.9420,1.20,3.13,351
S5,0.02,0.1262,0.1195,0.1343,0.8120,0.9382,6.31,15.00,351
S6,0.02,0.0198,0.0172,0.0238,0.9184,0.9420,1.18,3.09,351
S7,0.02,0.0209,0.0182,0.0250,0.9173,0.9420,1.23,3.19,351
S8,0.02,0.0238,0.0148,0.0359,0.9145,0.9301,0.78,2.15,351
